REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2013,40,1.15746,1.13249,2974,1840,X,3769,638,456,9677,1960,854487
National,X,2013,41,1.27184,1.21121,3276,1924,X,3925,762,533,10420,1990,860298
National,X,2013,42,1.31623,1.25682,3483,2010,X,3880,785,500,10658,2018,848016
National,X,2013,43,1.37444,1.37097,3930,2292,X,4484,816,514,12036,2027,877917
National,X,2013,44,1.46781,1.42956,4045,2354,X,4642,930,531,12502,2028,874537
National,X,2013,45,1.5834,1.53588,4434,2511,X,5062,953,538,13498,2017,878845
National,X,2013,46,1.60253,1.60267,4643,2716,X,5000,990,578,13927,2054,868987
National,X,2013,47,1.72344,1.73267,4835,3088,X,5579,1083,583,15168,2012,875411
National,X,2013,48,2.11076,2.09858,4937,3027,X,4313,1059,639,13975,2042,665926
National,X,2013,49,2.1708,2.21374,5549,4375,X,6579,1552,865,18920,2055,854664
National,X,2013,50,2.36971,2.41674,5501,4458,X,7046,1591,802,19398,2054,802651
National,X,2013,51,3.15997,3.03071,6555,6525,X,8406,2272,939,24697,2009,814891
National,X,2013,52,4.59053,4.38724,7814,7499,X,7485,2874,1316,26988,2007,615148
National,X,2014,1,4.28195,4.2112,7488,9135,X,6726,3555,1750,28654,2033,680424
National,X,2014,2,3.56288,3.46492,6233,8846,X,7881,3565,1622,28147,2059,812343
National,X,2014,3,3.36378,3.31698,6007,8091,X,9517,3149,1606,28370,2049,855297
National,X,2014,4,3.39659,3.2407,5878,6818,X,8858,2616,1332,25502,2062,786928
National,X,2014,5,3.11922,2.88598,5133,6031,X,8714,2403,1203,23484,2051,813726
National,X,2014,6,2.83572,2.62172,4729,5278,X,7711,2242,1125,21085,2051,804244
National,X,2014,7,2.48484,2.34067,4210,4470,X,6717,1829,969,18195,2018,777340
National,X,2014,8,2.2741,2.12059,4250,4306,X,6121,1684,873,17234,2025,812700
National,X,2014,9,2.07244,1.91094,3953,3691,X,5875,1505,890,15914,1978,832786
National,X,2014,10,1.98207,1.9023,3775,3472,X,5575,1430,792,15044,1944,790831
National,X,2014,11,1.82441,1.76619,3616,3210,X,5022,1360,816,14024,1904,794024
National,X,2014,12,1.82036,1.85791,3798,3285,X,5611,1422,810,14926,1922,803374
National,X,2014,13,1.75391,1.82094,3523,3256,X,5812,1298,772,14661,1887,805133
National,X,2014,14,1.74542,1.83453,3582,3153,X,5659,1436,807,14637,1866,797863
National,X,2014,15,1.67236,1.75446,3574,2943,X,5587,1316,786,14206,1845,809707
National,X,2014,16,1.51659,1.51636,3130,2516,X,4279,1088,710,11723,1810,773101
National,X,2014,17,1.44778,1.40334,2846,2504,X,3770,1036,658,10814,1771,770592
National,X,2014,18,1.29028,1.2593,2501,2084,X,3591,913,559,9648,1746,766139
National,X,2014,19,1.37388,1.32482,2789,2009,X,3615,834,528,9775,1714,737834
National,X,2014,20,1.34208,1.27576,2544,1876,X,3256,825,532,9033,1660,708049
National,X,2014,21,1.34563,1.29483,2733,1742,X,3068,771,483,8797,1570,679395
National,X,2014,22,1.21291,1.2261,2528,1542,X,2459,625,504,7658,1554,624582
National,X,2014,23,1.19291,1.14538,2383,1492,X,2349,607,398,7229,1461,631143
National,X,2014,24,1.14146,1.0678,2227,1413,X,2181,561,401,6783,1461,635233
National,X,2014,25,1.06503,1.07269,2159,1285,X,2009,528,388,6369,1392,593740
National,X,2014,26,1.12669,1.01298,2049,1235,X,1917,509,328,6038,1411,596063
National,X,2014,27,0.947353,0.994705,1865,1075,X,1688,416,308,5352,1388,538049
National,X,2014,28,0.944187,0.880862,1758,1122,X,1623,441,351,5295,1394,601116
National,X,2014,29,0.934822,0.858173,1582,1116,X,1621,403,361,5083,1376,592305
National,X,2014,30,0.81736,0.805152,1455,1128,X,1450,398,334,4765,1372,591814
National,X,2014,31,0.852792,0.818781,1450,1094,X,1655,417,326,4942,1378,603580
National,X,2014,32,0.746994,0.783735,1460,1074,X,1528,409,273,4744,1382,605307
National,X,2014,33,0.761098,0.848703,1528,1107,X,1631,403,311,4980,1369,586778
National,X,2014,34,0.767627,0.834146,1569,1196,X,1813,412,315,5305,1371,635980
National,X,2014,35,0.862176,0.905981,1684,1223,X,2184,401,307,5799,1353,640080
National,X,2014,36,0.984907,1.04506,1753,1284,X,2258,453,302,6050,1352,578913
National,X,2014,37,1.16287,1.16816,2300,1550,X,3316,568,396,8130,1401,695966
National,X,2014,38,1.22731,1.27649,2535,1705,X,3650,605,393,8888,1405,696282
National,X,2014,39,1.2071,1.29758,2522,1820,X,3447,657,428,8874,1407,683887
